StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2
124629	Extra Farsund	BARBROS GATE 14	FARSUND	VEST-AGDER	NO	4550		https://www.dnb.no		postal		58.0918894288487	6.80811466802754						
124630	Spar S&aelig;b&oslash;vik	S&AElig;B&Oslash;VIKVEGEN 130	S&AElig;B&Oslash;VIK	HORDALAND	NO	5454		https://www.dnb.no		postal		59.7940198257348	5.70830965513978						
124631	Coop Prix Selje		SELJE	SOGN OG FJORDANE	NO	6740		https://www.dnb.no		postal		62.0449183205777	5.34530322894344						
124633	Extra F&oslash;rde	KRONBORGVEGEN 34	F&Oslash;RDE	SOGN OG FJORDANE	NO	6813		https://www.dnb.no		postal		61.4476489203197	5.88618486748574						
124635	Coop Prix Tysnes	V&Aring;GE	TYSNES	HORDALAND	NO	5680		https://www.dnb.no		postal		60.0427001059657	5.52258064877399						
124636	Coop Prix Leikanger	SOGNEFJORDVEGEN 42	LEIKANGER	SOGN OG FJORDANE	NO	6863		https://www.dnb.no		postal		61.1834974155877	6.85064167830381						
124638	Coop Marked Tonstad	TONSTADVEIEN 27	TONSTAD	VEST-AGDER	NO	4440		https://www.dnb.no		postal		58.6646881992751	6.71680379506632						
124641	Coop Marked Fl&aring;m	A-FELTVEGEN 18	FL&Aring;M	SOGN OG FJORDANE	NO	5743		https://www.dnb.no		postal		60.8639965484379	7.11535978523864						
124642	Coop Prix Norheimsund	GROVA 16	NORHEIMSUND	HORDALAND	NO	5600		https://www.dnb.no		postal		60.3724152441764	6.14565511025059						
124643	Coop Prix Sokndal	MYRVEIEN 6	HAUGE I DALANE	ROGALAND	NO	4380		https://www.dnb.no		postal		58.3420504574146	6.29138081467512						
124644	Extra Hana Sanz	HANAVEIEN 17	SANDNES	ROGALAND	NO	4327		https://www.dnb.no		postal		58.8545291271397	5.75221266793011						
124645	Coop Prix Greipstad	SONGDALSVEGEN 104	NODELAND	VEST-AGDER	NO	4645		https://www.dnb.no		postal		58.1556174341239	7.83657916466671						
