StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
MB12	Kongsberg	Storgt.16-18	KONGSBERG	BUSKERUD	NO	3611		https://www.dnb.no		ATM		59.66930007	9.651005744			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB153	Kongsvinger	Storgata 40	KONGSVINGER	HEDMARK	NO	2213		https://www.dnb.no		ATM		60.192935	12.000546			NOK, SEK, EUR D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB171	Kopperud	Kalkveien 11	GJ&Oslash;VIK	OPPLAND	NO	2818		https://www.dnb.no		ATM		60.7764333	10.6760286			NOK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB15	Kristiansand S	Markens gt. 19	KRISTIANSAND S	VEST-AGDER	NO	4611		https://www.dnb.no		ATM		58.145016	7.993777			NOK, DKK, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB16	Kristiansund	Nedre Enggt 6	KRISTIANSUND N	M&Oslash;RE OG ROMSDAL	NO	6501		https://www.dnb.no		ATM		63.1106571	7.7307502			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB193	Lande	Tunevn.1a	SARPSBORG	&Oslash;STFOLD	NO	1710		https://www.dnb.no		ATM		59.2908832	11.0973688			NOK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB5	Larvik	Sanden 1	LARVIK	VESTFOLD	NO	3264		https://www.dnb.no		ATM		59.05090332	10.02287197			NOK, DKK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB41	Larvik	Sanden 1	LARVIK	VESTFOLD	NO	3264		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	ATM		59.05090332	10.02287197	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, SEK,GBP,USD				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB23	Lierbyen	Hegsbroveien 52	LIER	BUSKERUD	NO	3400		https://www.dnb.no		ATM		59.7861093	10.2451652			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB274	Lillehammer	Kirkegaten 72-74	LILLEHAMMER	OPPLAND	NO	2609		https://www.dnb.no	1:06:00:22:00,2:06:00:22:00,3:06:00:22:00,4:06:00:22:00,5:06:00:22:00,6:06:00:22:00,7:06:00:22:00	ATM		61.11589813	10.46254444			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB25	Lillestr&oslash;m	Kirkegaten 1	Lillestr&oslash;m	AKERSHUS	NO	2000		https://www.dnb.no		ATM		59.9547972	11.0459338			NOK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB26	Lillestr&oslash;m	Kirkegaten 1	Lillestr&oslash;m	AKERSHUS	NO	2000		https://www.dnb.no	1:07:00:21:00,2:07:00:21:00,3:07:00:21:00,4:07:00:21:00,5:07:00:21:00,6:07:00:21:00,7:07:00:21:00	ATM		59.9547972	11.0459338	1:07:00:21:00,2:07:00:21:00,3:07:00:21:00,4:07:00:21:00,5:07:00:21:00,6:07:00:21:00,7:07:00:21:00		NOK, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB32	Majorstuen	Kirkeveien 59	OSLO	OSLO	NO	0366		https://www.dnb.no		ATM		59.92884	10.715572			NOK, EUR, D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB197	Mo i Rana	Nordahl Griegs gate 10	MO I RANA	NORDLAND	NO	8622		https://www.dnb.no		ATM		66.310014	14.138150							<br/><br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB91	Molde	Storgata 25	MOLDE	M&Oslash;RE OG ROMSDAL	NO	6401		https://www.dnb.no		ATM		62.73711395	7.157223224			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB92	Moss	Dronningensgate 19	MOSS	&Oslash;STFOLD	NO	1530		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	ATM		59.43559265	10.66239452	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, SEK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB93	Moss	Dronningensgate 19	MOSS	&Oslash;STFOLD	NO	1530		https://www.dnb.no		ATM		59.4355936	10.6623949			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB275	M&aring;l&oslash;y	Sj&oslash;gata	M&Aring;L&Oslash;Y	SOGN OG FJORDANE	NO	6701		https://www.dnb.no	2:08:00:21:00,3:08:00:21:00,4:08:00:21:00,5:08:00:21:00,6:08:00:21:00	ATM		61.93109512	5.113020896			NOK, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB95	Nanset	Nansetgt 91	LARVIK	VESTFOLD	NO	3269		https://www.dnb.no		ATM		59.0647941	10.0399374			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB60	Nesttun	&Oslash;stre Nesttunvei 2	NESTTUN	HORDALAND	NO	5221		https://www.dnb.no		ATM		60.31916046	5.353542804			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB175	Nytorget	Nytorget	KONGSBERG	BUSKERUD	NO	3616		https://www.dnb.no		ATM		59.6636391	9.6472217			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB101	N&oslash;tter&oslash;y	&Oslash;rsnesalleen 33	T&Oslash;NSBERG	VESTFOLD	NO	3120		https://www.dnb.no		ATM		59.25178909	10.41622734			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB281	Oasen Senter	Folke Bernadottes vei 52	FYLLINGSDALEN	HORDALAND	NO	5147		https://www.dnb.no	1:08:00:21:00,2:08:00:21:00,3:08:00:21:00,4:08:00:21:00,5:08:00:21:00,6:08:00:21:00,7:08:00:21:00	ATM		60.3489574	5.2917697	1:08:00:21:00,2:08:00:21:00,3:08:00:21:00,4:08:00:21:00,5:08:00:21:00,6:08:00:21:00,7:08:00:21:00		NOK, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB107	Ottatunet Senter	Ottatunet, Johan Nyg&aring;rdsgate 12	OTTA	OPPLAND	NO	2670		https://www.dnb.no		ATM		61.77143096	9.540317535			NOK,EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB110	Porsgrunn	Storgata 141	PORSGRUNN	TELEMARK	NO	3915		https://www.dnb.no		ATM		59.14035	9.6545692			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
